temp,heat-cap
2.965932,449729.356927
2.973948,524738.154082
2.981964,472974.009009
2.989980,416695.074144
2.997996,-1327397.025042
3.006012,529555.203585
3.014028,341595.243182
3.022044,403983.183328
3.030060,384793.281884
3.038076,279440.382047
3.046092,408013.021423
3.054108,363930.368885
3.062124,2271822.568206
3.070141,366805.114099
3.078157,410090.877423
3.086173,317896.483503
3.094189,362698.040875
3.102205,463038.337106
3.110221,340550.352405
3.118237,383577.749548
3.126253,329974.009796
3.134269,373880.089216
3.142285,342904.931197
3.150301,265071.526103
3.158317,348181.520354
3.166333,268965.500299
3.174349,352429.202722
3.182365,327566.733794
3.190381,376563.588510
3.198397,287923.071981
3.206413,280316.129764
3.214429,423870.011623
3.222445,311663.789628
3.230461,307256.017630
3.238477,299608.428631
3.246493,315557.576512
3.254509,250925.009928
3.262525,353652.851927
3.270541,291909.328733
3.278557,256938.985406
3.286573,277533.479794
3.294589,369315.848961
3.302605,240809.205973
3.310621,280238.832197
3.318637,344548.659586
3.326653,269011.516702
3.334670,370489.673078
3.342686,308043.541225
3.350702,303200.829929
3.358718,273111.534494
3.366734,281502.753559
3.374750,238273.745880
3.382766,261565.663114
3.390782,252632.799144
3.398798,202761.445460
3.406814,263661.813288
3.414830,138775.356265
3.422846,255914.449239
3.430862,195582.636859
3.438878,249006.868933
3.446894,205339.675209
3.454910,276175.777377
3.462926,261371.607510
3.470942,276453.186981
3.478958,362168.321523
3.486974,292249.363102
3.494990,-1807475.729396
3.503006,-1909313.150877
3.511022,-1925325.485461
3.519038,250282.715849
3.527054,237346.612139
3.535070,220477.635700
3.543086,242885.376162
3.551102,198586.003225
3.559118,2382625.258694
3.567134,2447594.300712
3.575150,2416082.055722
3.583166,212636.802784
3.591182,241056.395850
3.599198,231432.099525
3.607215,263957.329753
3.615231,240015.376195
3.623247,252043.701775
3.631263,203664.291031
3.639279,225566.288123
3.647295,204864.588629
3.655311,255458.218769
3.663327,228449.462393
3.671343,221996.239433
3.679359,190658.694436
3.687375,215710.411285
3.695391,227255.221228
3.703407,236545.352305
3.711423,212970.593408
3.719439,156582.767624
3.727455,211297.456979
3.735471,232635.081933
3.743487,260840.139910
3.751503,217964.465777
3.759519,184716.459593
3.767535,193228.307817
3.775551,239083.934270
3.783567,214445.053862
3.791583,190484.618817
3.799599,156744.792815
3.807615,145500.681645
3.815631,184643.844835
3.823647,224015.778852
3.831663,218123.056908
3.839679,203761.131521
3.847695,183027.651363
3.855711,202608.973200
3.863727,182374.618041
3.871744,199578.009479
3.879760,157610.987601
3.887776,160136.083077
3.895792,167160.483857
3.903808,112609.567942
3.911824,193235.925186
3.919840,132015.565411
3.927856,181236.757897
3.935872,163398.627311
3.943888,179665.269641
3.951904,181306.313219
3.959920,136357.341021
3.967936,218075.542006
3.975952,186218.883106
3.983968,214390.566777
3.991984,194601.057659
4.000000,212761.115753
