temp,energy
2.124295,-16134.035440
2.132311,-15576.952590
2.140327,-15336.292163
2.148343,-15273.788398
2.156359,-15340.197502
2.164375,-15008.191042
2.172390,-15206.236162
2.180406,-15067.067851
2.188422,-14841.968000
2.196438,-14937.553656
2.204454,-14647.099391
2.212470,-15072.242062
2.220485,-14495.065571
2.228501,-14724.888709
2.236517,-14802.514585
2.244533,-14832.373204
2.252549,-13928.294543
2.260565,-13894.213662
2.268580,-13921.569636
2.276596,-13772.094081
2.284612,-13346.941509
2.292628,-13311.459495
2.300644,-13541.674957
2.308660,-13604.421144
2.316675,-13320.099241
2.324691,-12971.080931
2.332707,-13057.468775
2.340723,-12787.641696
2.348739,-12844.824688
2.356755,-12426.564086
2.364770,-12738.680647
2.372786,-12574.385124
2.380802,-12521.442594
2.388818,-12274.642706
2.396834,-12198.375884
2.404849,-12222.564306
2.412865,-12295.179472
2.420881,-11684.580766
2.428897,-11658.541485
2.436913,-11850.442544
2.444929,-11817.856799
2.452944,-11872.168722
2.460960,-11699.357894
2.468976,-11176.775388
2.476992,-11215.849198
2.485008,-11251.573596
2.493024,-11161.140351
2.501039,-11489.864319
2.509055,-11286.932329
2.517071,-11413.423694
2.525087,-11029.047650
2.533103,-11103.459915
2.541119,-10786.781068
2.549134,-10867.604716
2.557150,-10938.775968
2.565166,-10486.854489
2.573182,-10437.717777
2.581198,-10724.799428
2.589214,-10372.242522
2.597229,-10476.130901
2.605245,-10563.755738
2.613261,-10278.316683
2.621277,-10265.457915
2.629293,-10158.604126
2.637309,-9994.395204
2.645324,-9953.458635
2.653340,-10067.089131
2.661356,-9952.682107
2.669372,-9828.093801
2.677388,-9935.247492
2.685404,-9766.296683
2.693419,-9561.153092
2.701435,-9861.467355
2.709451,-9846.201382
2.717467,-9737.119451
2.725483,-9455.660377
2.733499,-9456.151922
2.741514,-9614.667267
2.749530,-9548.400704
2.757546,-9412.196562
2.765562,-9413.898719
2.773578,-9219.877159
2.781594,-9278.430284
2.789609,-9411.891939
2.797625,-9226.180682
2.805641,-9307.443394
2.813657,-9132.037460
2.821673,-8985.480335
2.829689,-8954.582186
2.837704,-8900.625026
2.845720,-9137.190972
2.853736,-9085.757578
2.861752,-8870.295663
2.869768,-9010.701007
2.877784,-8811.101851
2.885799,-8908.004460
2.893815,-8668.817828
2.901831,-8931.149631
2.909847,-8712.254943
2.917863,-8633.996940
2.925879,-8647.817358
2.933894,-8511.930539
2.941910,-8463.677157
2.949926,-8568.173742
2.957942,-8431.603476
2.965958,-8472.798048
2.973974,-8323.700677
2.981989,-8314.145681
2.990005,-8180.069941
2.998021,-8236.357844
3.006037,-8053.412434
3.014053,-8552.101141
3.022069,-8155.739517
3.030084,-8174.376484
3.038100,-8006.739647
3.046116,-8063.881099
3.054132,-8038.030680
3.062148,-8227.219312
3.070164,-8048.312563
3.078179,-7934.721487
3.086195,-7962.506245
3.094211,-8072.352364
3.102227,-7839.404514
3.110243,-7870.793988
3.118259,-7779.223432
3.126274,-7669.640156
3.134290,-7650.494825
3.142306,-7744.934969
3.150322,-7592.835248
3.158338,-7568.401604
3.166354,-7611.888519
3.174369,-7492.207542
3.182385,-7686.763008
3.190401,-7492.425484
3.198417,-7618.696147
3.206433,-7543.102611
3.214448,-7589.209172
3.222464,-7472.621006
3.230480,-7441.586776
3.238496,-7305.970560
3.246512,-7363.871859
3.254528,-7208.921229
3.262543,-7303.197272
3.270559,-7395.957060
3.278575,-7295.521755
3.286591,-7273.264493
3.294607,-7219.228372
3.302623,-7208.696427
3.310638,-7163.086771
3.318654,-7128.453745
3.326670,-7010.960730
3.334686,-6991.532815
3.342702,-7079.233632
3.350718,-6989.174772
3.358733,-6982.656527
3.366749,-6982.331523
3.374765,-7196.686487
3.382781,-7039.466115
3.390797,-6898.660667
3.398813,-6955.298993
3.406828,-7014.053881
3.414844,-6919.510155
3.422860,-6782.820628
3.430876,-6809.149151
3.438892,-6797.551036
3.446908,-6847.609856
3.454923,-6938.406184
3.462939,-6653.650977
3.470955,-6686.435864
3.478971,-6698.344843
3.486987,-6729.893399
3.495003,-6553.126731
3.503018,-6635.094351
3.511034,-6719.228092
3.519050,-6632.087581
3.527066,-6660.547805
3.535082,-6566.508885
3.543098,-6519.336893
3.551113,-6562.133261
